Player Name,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA
Aaron Connolly,183.0,236.0,10.0,3.0
Aaron Cresswell,4131.0,5605.0,108.0,75.0
Aaron Hickey,333.0,398.0,4.0,4.0
Aaron Hunt,883.0,1229.0,65.0,31.0
Aaron Lennon,677.0,955.0,22.0,21.0
Aaron Leya Iseka,416.0,530.0,19.0,8.0
Aaron Mooy,3450.0,4572.0,131.0,85.0
Aaron Ramsdale,902.0,1678.0,3.0,0.0
Aaron Ramsey,2762.0,3291.0,90.0,77.0
Aaron Rowe,13.0,17.0,0.0,0.0
Aaron Wan-Bissaka,3741.0,4729.0,50.0,55.0
Aarón Escandell,77.0,128.0,0.0,0.0
Aarón Martín,3092.0,4192.0,129.0,92.0
Abdallah N'dour,380.0,513.0,13.0,16.0
Abdallahi Mahmoud,36.0,44.0,0.0,0.0
Abdelhamid Sabiri,416.0,539.0,9.0,5.0
Abdou Diallo,4281.0,4920.0,20.0,37.0
Abdou Lahat Diakhate,0.0,0.0,0.0,0.0
Abdoul Camara,223.0,313.0,9.0,9.0
Abdoul Kader Bamba,855.0,1105.0,54.0,32.0
Abdoulay Diaby,5.0,10.0,1.0,0.0
Abdoulaye Ba,856.0,1037.0,1.0,0.0
Abdoulaye Bamba,2240.0,2916.0,33.0,36.0
Abdoulaye Dabo,26.0,32.0,3.0,2.0
Abdoulaye Diallo,147.0,212.0,0.0,0.0
Abdoulaye Doucouré,5565.0,6748.0,120.0,119.0
Abdoulaye Sidibé,1.0,2.0,0.0,0.0
Abdoulaye Touré,3879.0,4749.0,68.0,47.0
Abdul Majeed Waris,590.0,817.0,25.0,22.0
Abdón Prats,46.0,73.0,2.0,0.0
Abel Ruiz,9.0,12.0,1.0,0.0
Ablie Jallow,34.0,44.0,1.0,2.0
Abou Ouattara,2.0,3.0,0.0,0.0
Aboubakar Kamara,263.0,370.0,15.0,6.0
Achraf Hakimi,4339.0,5148.0,71.0,99.0
Achraf Lazaar,120.0,173.0,3.0,5.0
Adalberto Peñaranda,187.0,243.0,7.0,5.0
Adam Bodzek,1170.0,1391.0,15.0,8.0
Adam Idah,37.0,48.0,1.0,0.0
Adam Lallana,975.0,1171.0,37.0,32.0
Adam Marušić,2570.0,3205.0,84.0,73.0
Adam Masina,2304.0,3176.0,39.0,45.0
Adam Ounas,731.0,961.0,50.0,53.0
Adam Smith,2564.0,3223.0,39.0,45.0
Adam Webster,2510.0,2994.0,15.0,10.0
