Player Name,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA
Ismael Aaneba,80.0,122.0,1.0,2.0
Patrick van Aanholt,1587.0,1962.0,34.0,63.0
Ignazio Abate,766.0,918.0,7.0,13.0
Issah Abbas,1.0,2.0,0.0,0.0
Yunis Abdelhamid,1318.0,1576.0,3.0,3.0
Mehdi Abeid,919.0,1081.0,23.0,11.0
Charles Abi,6.0,16.0,0.0,2.0
David Abraham,520.0,671.0,3.0,7.0
Amir Abrashi,333.0,384.0,2.0,1.0
Francesco Acerbi,1554.0,1787.0,8.0,6.0
Afriyie Acquah,591.0,735.0,11.0,14.0
Tyler Adams,416.0,516.0,5.0,4.0
Antonio Adán,12.0,24.0,0.0,0.0
Aday,230.0,325.0,14.0,10.0
Khaled Adénon,842.0,967.0,3.0,4.0
Claud Adjapong,77.0,101.0,2.0,3.0
Yacine Adli,111.0,151.0,6.0,3.0
Ali Adnan Kadhim,78.0,123.0,3.0,2.0
Aritz Aduriz,149.0,237.0,5.0,3.0
Luis Advíncula,980.0,1204.0,15.0,24.0
Martin Agirregabiria,673.0,968.0,8.0,14.0
Nayef Aguerd,452.0,577.0,2.0,3.0
Sergio Agüero,665.0,785.0,34.0,44.0
Ruben Aguilar,1328.0,1642.0,46.0,47.0
Juan Aguilera,163.0,185.0,1.0,3.0
Emmanuel Agyemang-Badu,26.0,31.0,1.0,0.0
Jean-Eudes Aholou,465.0,552.0,4.0,4.0
Antonis Aidonis,14.0,34.0,0.0,2.0
Ola Aina,845.0,1160.0,24.0,31.0
Youssef Aït Bennasser,580.0,664.0,8.0,7.0
Youssef Aït Bennasser,638.0,739.0,13.0,6.0
Rayan Aït Nouri,30.0,33.0,0.0,1.0
Ludovic Ajorque,355.0,467.0,12.0,7.0
Manuel Akanji,1698.0,1828.0,6.0,4.0
Carlos Akapo,346.0,442.0,3.0,5.0
Nathan Aké,1469.0,1701.0,5.0,7.0
Sergio Akieme,70.0,89.0,2.0,1.0
Chadrac Akolo,122.0,160.0,5.0,6.0
Kevin Akpoguma,229.0,271.0,0.0,0.0
Kevin Akpoguma,140.0,169.0,0.0,3.0
David Alaba,1768.0,2137.0,34.0,46.0
Sofiane Alakouch,837.0,1104.0,23.0,15.0
Lucas Alario,304.0,391.0,15.0,8.0
Jordi Alba,2305.0,2686.0,44.0,60.0
Luis Alberto,1121.0,1479.0,80.0,62.0
Raúl Albiol,1000.0,1126.0,5.0,4.0
Miiko Albornoz,725.0,972.0,16.0,22.0
Marc Albrighton,459.0,776.0,30.0,29.0
Paco Alcácer,210.0,274.0,17.0,8.0
Pedro Alcalá,698.0,843.0,4.0,6.0
Thiago Alcántara,2327.0,2573.0,34.0,26.0
Rubén Alcaraz,1435.0,1748.0,20.0,2.0
Toby Alderweireld,2067.0,2342.0,7.0,23.0
Álex Alegría,24.0,38.0,3.0,1.0
Alexis Alegue,1.0,1.0,0.0,0.0
Iván Alejo,16.0,41.0,1.0,2.0
Carles Aleñá,540.0,587.0,9.0,5.0
Rúnar Alex Rúnarsson,581.0,831.0,0.0,0.0
Alexander,4.0,7.0,0.0,0.0
Trent Alexander-Arnold,1644.0,2213.0,48.0,59.0
Rachid Alioui,273.0,383.0,19.0,16.0
Alisson,1039.0,1262.0,0.0,0.0
Bobby Allain,288.0,466.0,0.0,0.0
Allan,43.0,65.0,1.0,1.0
Allan,1981.0,2235.0,36.0,37.0
Dele Alli,843.0,1050.0,28.0,32.0
Miguel Almirón,188.0,260.0,12.0,14.0
Júnior Alonso,237.0,319.0,5.0,4.0
Marcos Alonso,1838.0,2226.0,31.0,23.0
Mickaël Alphonse,197.0,307.0,8.0,4.0
Sergio Álvarez,293.0,444.0,0.0,0.0
Sergio Álvarez,404.0,496.0,2.0,0.0
Yeray Álvarez,1027.0,1247.0,1.0,5.0
Bruno Alves,963.0,1204.0,10.0,2.0
Dani Alves,1327.0,1589.0,33.0,50.0
Alfons Amade,1.0,2.0,0.0,0.0
Ibrahim Amadou,313.0,365.0,4.0,2.0
Romain Amalfitano,839.0,1071.0,15.0,29.0
Daniel Amartey,354.0,433.0,3.0,0.0
Jordi Amat,1081.0,1289.0,4.0,0.0
Amath,151.0,217.0,9.0,10.0
Jordan Amavi,967.0,1295.0,24.0,20.0
Kelvin Amian,938.0,1188.0,8.0,10.0
Nadiem Amiri,327.0,382.0,17.0,10.0
Yanis Ammour,0.0,0.0,0.0,0.0
Luke Amos,1.0,2.0,0.0,0.0
