Player Name,Players Dribbled Past,Dribbles into PA
Patrick van Aanholt,18.0,12.0
Max Aarons,55.0,23.0
Yunis Abdelhamid,21.0,0.0
Suleiman Abdullahi,3.0,2.0
Mehdi Abeid,12.0,2.0
Charles Abi,16.0,4.0
David Abraham,11.0,1.0
Tammy Abraham,22.0,14.0
Amir Abrashi,7.0,1.0
Francesco Acerbi,15.0,0.0
Che Adams,15.0,11.0
Tyler Adams,6.0,1.0
Sargis Adamyan,13.0,8.0
Antonio Adán,0.0,0.0
Bobby Adekanye,4.0,6.0
Claud Adjapong,2.0,1.0
Amine Adli,3.0,0.0
Yacine Adli,28.0,3.0
Adrián,0.0,0.0
Aritz Aduriz,2.0,0.0
Lumor Agbenyenu,30.0,5.0
Martin Agirregabiria,16.0,2.0
Lucien Agoume,0.0,0.0
Kevin Agudelo,2.0,1.0
Kevin Agudelo,23.0,7.0
Nayef Aguerd,1.0,0.0
Sergio Agüero,28.0,16.0
Ruben Aguilar,17.0,3.0
Emmanuel Agyemang-Badu,0.0,0.0
Jean-Eudes Aholou,12.0,0.0
Joseph Aidoo,12.0,0.0
Ola Aina,59.0,7.0
Youssef Aït Bennasser,7.0,0.0
Rayan Aït Nouri,22.0,4.0
Albian Ajeti,0.0,0.0
Ludovic Ajorque,15.0,10.0
Manuel Akanji,9.0,0.0
Marley Aké,3.0,0.0
Nathan Aké,5.0,0.0
Chadrac Akolo,12.0,6.0
Kevin Akpoguma,3.0,0.0
David Alaba,7.0,2.0
Sofiane Alakouch,20.0,7.0
Lucas Alario,17.0,7.0
Jordi Alba,12.0,10.0
Luis Alberto,76.0,31.0
Raúl Albiol,3.0,1.0
Marc Albrighton,13.0,5.0
Paco Alcácer,4.0,7.0
Paco Alcácer,5.0,1.0
Thiago Alcántara,61.0,7.0
Rubén Alcaraz,21.0,2.0
Toby Alderweireld,0.0,0.0
Haitam Aleesami,22.0,4.0
Álex Alegría,1.0,0.0
Carles Aleñá,2.0,0.0
Carles Aleñá,15.0,1.0
Rúnar Alex Rúnarsson,1.0,0.0
Trent Alexander-Arnold,30.0,12.0
Enrico Alfonso,0.0,0.0
Rachid Alioui,25.0,15.0
Alisson,0.0,0.0
Allan,20.0,3.0
Dele Alli,36.0,16.0
Miguel Almirón,54.0,18.0
Marcos Alonso,12.0,9.0
Mickaël Alphonse,22.0,3.0
Sergio Álvarez,6.0,0.0
Sergio Álvarez,0.0,0.0
Yeray Álvarez,11.0,0.0
Bruno Alves,2.0,0.0
Steven Alzate,35.0,10.0
Ibrahim Amadou,2.0,0.0
Ibrahim Amadou,3.0,1.0
Romain Amalfitano,31.0,3.0
Amath,4.0,1.0
Jordan Amavi,32.0,6.0
Thierry Ambrose,27.0,5.0
Kelvin Amian,9.0,3.0
Nadiem Amiri,35.0,10.0
Ethan Ampadu,0.0,0.0
Opoku Ampomah,21.0,9.0
Sofyan Amrabat,89.0,5.0
