Player Name,League,Position,Age,Matches Played,Starts,90s Played,Goals,Assists,Yellow Cards,Red Cards
Aaron Connolly,Premier League,FW,20.0,35,21,20.5,5,2,0,0
Aaron Cresswell,Premier League,DF,31.0,106,103,101.1,4,8,15,0
Aaron Hickey,Serie A,DF,18.0,10,9,8.1,0,0,3,0
Aaron Hunt,Bundesliga,"MF,FW",30.0,28,26,23.1,3,2,1,0
Aaron Lennon,Premier League,MF,32.0,61,40,40.2,1,3,7,0
Aaron Leya Iseka,Ligue 1,FW,23.0,60,26,29.400000000000002,9,0,7,1
Aaron Mooy,Premier League,"MF,FW",28.0,96,84,83.2,9,6,11,1
Aaron Ramsdale,Premier League,GK,22.0,56,56,56.0,0,1,1,0
Aaron Ramsey,Serie A,"MF,FW",30.0,88,55,55.1,15,18,2,0
Aaron Rowe,Premier League,FW,17.0,2,1,0.8,0,0,0,0
Aaron Wan-Bissaka,Premier League,DF,23.0,94,93,92.9,1,8,13,1
Aarón Escandell,La Liga,GK,23.0,3,3,3.0,0,0,0,0
Aarón Martín,La Liga,DF,23.0,93,88,87.1,0,3,12,0
Abdallah N'dour,Ligue 1,DF,25.0,15,11,10.1,0,0,4,2
Abdallahi Mahmoud,La Liga,MF,20.0,4,2,2.2,0,0,1,0
Abdelhamid Sabiri,Bundesliga,MF,22.0,31,12,14.5,4,2,7,0
Abdou Diallo,Ligue 1,DF,24.0,84,78,75.9,3,3,12,3
Abdou Lahat Diakhate,Serie A,FW,19.0,1,0,0.0,0,0,0,0
Abdoul Camara,Ligue 1,"FW,MF",27.0,14,12,10.8,2,1,0,0
Abdoul Kader Bamba,Ligue 1,"FW,MF",26.0,46,22,24.5,3,4,6,0
Abdoulay Diaby,La Liga,MF,29.0,1,0,0.2,0,0,0,0
Abdoulaye Ba,La Liga,DF,27.0,26,25,23.4,1,0,4,2
Abdoulaye Bamba,Ligue 1,DF,30.0,65,62,61.10000000000001,0,4,11,0
Abdoulaye Dabo,Ligue 1,FW,17.0,2,2,1.3,0,0,0,0
Abdoulaye Diallo,Ligue 1,GK,26.0,9,9,8.5,0,0,0,0
Abdoulaye Doucouré,Premier League,MF,28.0,126,124,122.1,17,13,31,0
Abdoulaye Sidibé,Ligue 1,MF,18.0,1,0,0.1,0,0,1,0
Abdoulaye Touré,Ligue 1,MF,26.0,114,96,97.30000000000001,8,3,12,1
Abdul Majeed Waris,Ligue 1,"FW,MF",29.0,53,33,33.6,8,4,4,0
Abdón Prats,La Liga,"FW,MF",26.0,20,0,3.1,0,0,1,0
Abel Ruiz,La Liga,FW,18.0,1,0,0.2,0,0,0,0
Ablie Jallow,Ligue 1,"MF,FW",18.0,2,2,1.4,0,0,0,0
Abou Ouattara,Ligue 1,MF,19.0,1,0,0.1,0,0,0,0
Aboubakar Kamara,Premier League,"FW,DF",25.0,24,7,11.2,3,0,3,1
Achraf Hakimi,Serie A,DF,22.0,81,68,70.60000000000001,15,18,12,0
Achraf Lazaar,Serie A,"DF,MF",25.0,9,6,5.3,1,0,0,0
Adalberto Peñaranda,La Liga,"FW,MF",20.0,13,11,8.9,0,0,3,0
Adam Bodzek,Bundesliga,MF,33.0,49,42,40.099999999999994,0,1,15,1
Adam Idah,Premier League,"FW,MF",18.0,12,1,2.5,0,0,0,0
