Player Name,League,Position,Age,Matches Played,Starts,90s Played,Goals,Assists,Yellow Cards,Red Cards
Patrick van Aanholt,Premier League,DF,26.0,28,25,24.3,5,1,7,0
Rolando Aarons,Serie A,"MF,FW",21.0,11,6,5.7,0,0,0,0
Rolando Aarons,Premier League,"FW,MF",21.0,4,1,1.5,0,0,0,0
Ignazio Abate,Serie A,DF,30.0,17,11,11.7,1,0,3,0
Aymen Abdennour,Ligue 1,DF,27.0,8,6,5.6,0,0,3,0
Aly Abeid,La Liga,DF,19.0,1,1,0.8,0,0,0,0
Mehdi Abeid,Ligue 1,MF,24.0,19,14,13.1,0,1,2,0
David Abraham,Bundesliga,DF,31.0,27,27,25.6,0,2,3,0
Tammy Abraham,Premier League,"FW,MF",19.0,31,15,19.2,5,1,0,0
Amir Abrashi,Bundesliga,MF,27.0,12,11,9.4,0,0,2,0
Francesco Acerbi,Serie A,DF,29.0,38,38,38.0,0,0,4,0
Afriyie Acquah,Serie A,MF,25.0,22,9,10.6,1,0,4,2
Charlie Adam,Premier League,MF,31.0,11,5,4.6,0,0,2,1
Antonio Adán,La Liga,GK,30.0,30,30,30.0,0,0,4,0
Aday,La Liga,"DF,MF",29.0,31,20,20.4,2,0,10,0
Khaled Adénon,Ligue 1,DF,32.0,34,32,32.5,0,1,9,0
Claud Adjapong,Serie A,"DF,MF",19.0,16,14,13.6,0,0,5,1
René Adler,Bundesliga,GK,32.0,14,14,14.0,0,0,0,0
Ali Adnan Kadhim,Serie A,"DF,MF",23.0,23,18,18.6,0,1,4,0
Adrián,Premier League,GK,30.0,19,19,19.0,0,0,2,0
Aritz Aduriz,La Liga,FW,36.0,33,21,23.9,9,3,5,0
Ibrahim Afellay,Premier League,MF,31.0,6,1,1.8,0,0,1,0
Benik Afobe,Premier League,"FW,MF",24.0,17,5,6.8,0,0,0,0
Martin Agirregabiria,La Liga,DF,21.0,21,20,20.3,0,4,4,0
Imanol Agirretxe,La Liga,FW,30.0,11,2,2.6,0,0,0,0
Sergio Agüero,Premier League,FW,29.0,25,22,21.8,21,6,2,0
Ruben Aguilar,Ligue 1,"DF,MF",24.0,31,27,27.3,0,3,2,0
Matías Aguirregaray,La Liga,DF,28.0,15,14,12.8,0,0,3,0
Jean-Eudes Aholou,Ligue 1,MF,23.0,35,35,33.4,5,0,4,0
Ailton,Bundesliga,"DF,FW",22.0,5,1,1.2,0,0,0,0
Youssef Aït Bennasser,Ligue 1,MF,21.0,27,25,22.8,0,0,4,0
Arlind Ajeti,Serie A,"DF,MF",23.0,21,15,14.1,0,1,7,0
Manuel Akanji,Bundesliga,DF,22.0,11,10,10.0,0,0,2,0
Nathan Aké,Premier League,DF,22.0,38,37,37.3,2,3,5,0
Ager Aketxe,La Liga,MF,23.0,3,0,0.5,0,0,1,0
Chadrac Akolo,Bundesliga,"FW,MF",22.0,22,13,12.2,5,0,2,0
Kevin Akpoguma,Bundesliga,DF,22.0,22,17,18.8,0,1,1,0
David Alaba,Bundesliga,DF,25.0,23,17,17.2,2,2,1,0
Lucas Alario,Bundesliga,FW,24.0,23,17,17.2,9,4,4,1
David Alba,La Liga,DF,18.0,1,1,0.7,0,0,0,0
Jordi Alba,La Liga,DF,28.0,33,30,30.5,2,6,7,0
Raúl Albentosa,La Liga,DF,28.0,20,19,19.4,1,0,5,0
Luis Alberto,Serie A,"MF,FW",24.0,34,32,29.7,11,14,5,0
Raúl Albiol,Serie A,DF,31.0,31,30,30.5,3,1,7,0
Miiko Albornoz,Bundesliga,DF,26.0,10,7,7.8,0,0,1,0
Marc Albrighton,Premier League,"MF,FW",27.0,34,30,28.2,2,7,5,1
Paco Alcácer,La Liga,"FW,MF",23.0,17,8,7.8,4,2,0,0
Pedro Alcalá,La Liga,DF,28.0,8,8,7.6,1,0,4,0
Thiago Alcántara,Bundesliga,"MF,FW",26.0,19,12,13.9,2,2,3,0
David Alcibiade,Ligue 1,DF,25.0,3,2,2.3,0,0,0,0
Toby Alderweireld,Premier League,DF,28.0,14,13,13.1,0,0,3,0
Steve Aldo One,La Liga,DF,22.0,1,1,1.0,0,0,0,0
