Player Name,League,Position,Age,Matches Played,Starts,90s Played,Goals,Assists,Yellow Cards,Red Cards,Total Shots,Shots on Target,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA,Players Dribbled Past,Dribbles into PA,Current Market Value (USD)
Kylian Mbappé,Ligue 1,FW,22.0,93.0,78.0,78.80000000000001,76.0,26.0,8.0,1.0,341.0,172.0,2125.0,2723.0,151.0,121.0,282.0,173.0,198000000.0
Neymar,Ligue 1,"MF,FW",28.0,60.0,58.0,57.9,50.0,29.0,14.0,4.0,230.0,99.0,2997.0,3866.0,175.0,248.0,375.0,87.0,140800000.0
Harry Kane,Premier League,FW,27.0,112.0,109.0,107.69999999999999,77.0,19.0,15.0,0.0,423.0,171.0,1626.0,2319.0,111.0,83.0,150.0,87.0,132000000.0
Sadio Mané,Premier League,FW,28.0,117.0,110.0,104.8,56.0,17.0,10.0,1.0,284.0,123.0,3029.0,3887.0,169.0,197.0,245.0,171.0,132000000.0
Mohamed Salah,Premier League,FW,28.0,125.0,120.0,116.4,86.0,31.0,3.0,0.0,456.0,202.0,2901.0,3828.0,211.0,215.0,281.0,179.0,132000000.0
Kevin De Bruyne,Premier League,MF,29.0,107.0,94.0,90.9,26.0,48.0,8.0,0.0,273.0,91.0,5269.0,6902.0,327.0,347.0,154.0,96.0,132000000.0
Trent Alexander-Arnold,Premier League,DF,22.0,102.0,95.0,94.69999999999999,6.0,28.0,12.0,0.0,106.0,32.0,5826.0,7921.0,180.0,224.0,88.0,31.0,121000000.0
Raheem Sterling,Premier League,FW,26.0,116.0,104.0,103.2,60.0,24.0,13.0,2.0,288.0,120.0,3528.0,4294.0,174.0,176.0,244.0,221.0,121000000.0
João Félix,La Liga,FW,21.0,42.0,30.0,29.4,11.0,4.0,8.0,0.0,87.0,24.0,759.0,951.0,32.0,23.0,47.0,21.0,110000000.0
Jadon Sancho,Bundesliga,FW,20.0,93.0,73.0,74.1,32.0,39.0,4.0,0.0,132.0,59.0,3519.0,4323.0,185.0,185.0,326.0,136.0,110000000.0
Bruno Fernandes,Premier League,MF,26.0,32.0,31.0,29.599999999999998,19.0,14.0,6.0,0.0,93.0,35.0,1384.0,1922.0,86.0,75.0,27.0,13.0,99000000.0
Jan Oblak,La Liga,GK,28.0,128.0,128.0,127.7,0.0,0.0,2.0,0.0,0.0,0.0,1673.0,2929.0,1.0,1.0,5.0,0.0,99000000.0
Romelu Lukaku,Serie A,FW,27.0,119.0,102.0,102.49999999999999,63.0,12.0,13.0,0.0,280.0,135.0,1736.0,2516.0,131.0,109.0,112.0,104.0,99000000.0
Serge Gnabry,Bundesliga,FW,25.0,97.0,79.0,71.39999999999999,36.0,20.0,4.0,0.0,240.0,106.0,2368.0,3015.0,112.0,127.0,210.0,129.0,99000000.0
Joshua Kimmich,Bundesliga,"MF,DF",25.0,106.0,101.0,99.4,9.0,36.0,15.0,0.0,72.0,30.0,7436.0,8740.0,236.0,212.0,102.0,31.0,93500000.0
Kai Havertz,Premier League,"MF,FW",21.0,110.0,95.0,93.1,33.0,19.0,10.0,0.0,189.0,82.0,4083.0,4809.0,133.0,128.0,182.0,69.0,89100000.0
Alisson,Premier League,GK,28.0,119.0,119.0,118.3,0.0,1.0,3.0,1.0,0.0,0.0,3190.0,3837.0,3.0,1.0,8.0,0.0,88000000.0
Alphonso Davies,Bundesliga,"DF,FW",20.0,44.0,32.0,32.7,4.0,5.0,6.0,1.0,15.0,7.0,2066.0,2377.0,39.0,40.0,119.0,29.0,88000000.0
Virgil van Dijk,Premier League,DF,29.0,107.0,106.0,104.69999999999999,10.0,3.0,4.0,0.0,94.0,30.0,7311.0,8140.0,17.0,19.0,17.0,2.0,88000000.0
Lionel Messi,La Liga,"FW,MF",33.0,120.0,109.0,111.7,106.0,48.0,13.0,0.0,611.0,285.0,5728.0,7218.0,298.0,473.0,616.0,188.0,88000000.0
