Player Name,League,Position,Age,Matches Played,Starts,90s Played,Goals,Assists,Yellow Cards,Red Cards,Total Shots,Shots on Target,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA,Players Dribbled Past,Dribbles into PA
Aaron Connolly,Premier League,FW,20.0,35.0,21.0,20.5,5.0,2.0,0.0,0.0,52.0,19.0,183.0,236.0,10.0,3.0,12.0,14.0
Aaron Cresswell,Premier League,DF,31.0,106.0,103.0,101.1,4.0,8.0,15.0,0.0,59.0,14.0,4131.0,5605.0,108.0,75.0,42.0,18.0
Aaron Hickey,Serie A,DF,18.0,10.0,9.0,8.1,0.0,0.0,3.0,0.0,3.0,1.0,333.0,398.0,4.0,4.0,10.0,2.0
Aaron Hunt,Bundesliga,"MF,FW",30.0,28.0,26.0,23.1,3.0,2.0,1.0,0.0,27.0,6.0,883.0,1229.0,65.0,31.0,23.0,7.0
Aaron Lennon,Premier League,MF,32.0,61.0,40.0,40.2,1.0,3.0,7.0,0.0,19.0,7.0,677.0,955.0,22.0,21.0,38.0,26.0
Aaron Leya Iseka,Ligue 1,FW,23.0,60.0,26.0,29.400000000000002,9.0,0.0,7.0,1.0,63.0,24.0,416.0,530.0,19.0,8.0,32.0,17.0
Aaron Mooy,Premier League,"MF,FW",28.0,96.0,84.0,83.2,9.0,6.0,11.0,1.0,101.0,27.0,3450.0,4572.0,131.0,85.0,88.0,27.0
Aaron Ramsdale,Premier League,GK,22.0,56.0,56.0,56.0,0.0,1.0,1.0,0.0,0.0,0.0,902.0,1678.0,3.0,0.0,1.0,0.0
Aaron Ramsey,Serie A,"MF,FW",30.0,88.0,55.0,55.1,15.0,18.0,2.0,0.0,127.0,51.0,2762.0,3291.0,90.0,77.0,61.0,29.0
Aaron Rowe,Premier League,FW,17.0,2.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,0.0,0.0,2.0,0.0
Aaron Wan-Bissaka,Premier League,DF,23.0,94.0,93.0,92.9,1.0,8.0,13.0,1.0,21.0,3.0,3741.0,4729.0,50.0,55.0,166.0,34.0
Aarón Escandell,La Liga,GK,23.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,128.0,0.0,0.0,0.0,0.0
Aarón Martín,La Liga,DF,23.0,93.0,88.0,87.1,0.0,3.0,12.0,0.0,31.0,9.0,3092.0,4192.0,129.0,92.0,115.0,16.0
Abdallah N'dour,Ligue 1,DF,25.0,15.0,11.0,10.1,0.0,0.0,4.0,2.0,1.0,0.0,380.0,513.0,13.0,16.0,3.0,1.0
Abdallahi Mahmoud,La Liga,MF,20.0,4.0,2.0,2.2,0.0,0.0,1.0,0.0,0.0,0.0,36.0,44.0,0.0,0.0,3.0,0.0
Abdelhamid Sabiri,Bundesliga,MF,22.0,31.0,12.0,14.5,4.0,2.0,7.0,0.0,44.0,14.0,416.0,539.0,9.0,5.0,36.0,1.0
