Player Name,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA
Ismael Aaneba,2.0,2.0,0.0,0.0
Patrick van Aanholt,454.0,560.0,9.0,19.0
Issah Abbas,13.0,15.0,0.0,0.0
Yunis Abdelhamid,857.0,982.0,1.0,0.0
Mehdi Abeid,572.0,674.0,12.0,7.0
Laurent Abergel,649.0,781.0,5.0,4.0
Charles Abi,36.0,57.0,2.0,3.0
David Abraham,564.0,688.0,2.0,3.0
Tammy Abraham,132.0,195.0,8.0,2.0
Amir Abrashi,18.0,22.0,0.0,0.0
Gennaro Acampora,68.0,81.0,1.0,1.0
Francesco Acerbi,776.0,891.0,5.0,7.0
Ragnar Ache,6.0,12.0,0.0,0.0
Marcos Acuña,665.0,830.0,16.0,18.0
Che Adams,237.0,342.0,18.0,11.0
Tyler Adams,505.0,596.0,3.0,3.0
Sargis Adamyan,28.0,42.0,4.0,3.0
Tosin Adarabioyo,484.0,564.0,3.0,1.0
Bobby Adekanye,7.0,10.0,0.0,0.0
Yacine Adli,517.0,623.0,29.0,9.0
Andrea Adorante,0.0,0.0,0.0,0.0
Adrián,43.0,62.0,0.0,0.0
Martin Agirregabiria,129.0,179.0,1.0,1.0
Lucien Agoume,245.0,279.0,1.0,1.0
Felix Agu,76.0,109.0,1.0,0.0
Kevin Agudelo,122.0,171.0,2.0,4.0
Nayef Aguerd,1317.0,1449.0,4.0,0.0
Sergio Agüero,33.0,42.0,3.0,1.0
Ruben Aguilar,1010.0,1211.0,34.0,28.0
Matteo Ahlinvi,191.0,245.0,3.0,2.0
Jean-Eudes Aholou,309.0,366.0,4.0,2.0
Jean-Eudes Aholou,8.0,10.0,0.0,0.0
Joseph Aidoo,282.0,338.0,2.0,2.0
Ola Aina,599.0,777.0,8.0,9.0
Rayan Aït Nouri,136.0,149.0,4.0,4.0
Rayan Aït Nouri,291.0,345.0,6.0,6.0
Semi Ajayi,479.0,642.0,2.0,3.0
Ludovic Ajorque,344.0,482.0,20.0,12.0
Manuel Akanji,1171.0,1265.0,2.0,3.0
Carlos Akapo,107.0,170.0,0.0,2.0
Marley Aké,28.0,35.0,0.0,0.0
Nathan Aké,429.0,461.0,1.0,0.0
Paul Akouokou,66.0,73.0,1.0,1.0
Jean-Daniel Akpa-Akpro,150.0,187.0,9.0,7.0
Kevin Akpoguma,424.0,525.0,2.0,1.0
David Alaba,978.0,1158.0,9.0,14.0
Sofiane Alakouch,239.0,300.0,4.0,2.0
Lucas Alario,136.0,184.0,6.0,1.0
Jordi Alba,1208.0,1410.0,26.0,33.0
Luis Alberto,697.0,910.0,39.0,42.0
Raúl Albiol,961.0,1086.0,1.0,1.0
Marc Albrighton,294.0,438.0,15.0,21.0
Paco Alcácer,92.0,129.0,7.0,2.0
Pedro Alcalá,132.0,168.0,0.0,0.0
Thiago Alcántara,326.0,367.0,7.0,7.0
Rubén Alcaraz,369.0,459.0,3.0,3.0
Omar Alderete,437.0,538.0,1.0,1.0
Toby Alderweireld,385.0,485.0,3.0,3.0
Iván Alejo,38.0,69.0,2.0,4.0
Carles Aleñá,38.0,42.0,0.0,0.0
Carles Aleñá,55.0,64.0,4.0,3.0
