Player Name,Total Shots,Shots on Target
Patrick van Aanholt,26,5
Max Aarons,14,4
Yunis Abdelhamid,19,5
Suleiman Abdullahi,6,3
Mehdi Abeid,33,7
Charles Abi,5,0
David Abraham,7,4
Tammy Abraham,88,35
Amir Abrashi,5,2
Francesco Acerbi,17,7
Che Adams,37,9
Tyler Adams,7,1
Sargis Adamyan,20,10
Antonio Adán,0,0
Bobby Adekanye,5,4
Claud Adjapong,3,1
Amine Adli,0,0
Yacine Adli,18,6
Adrián,0,0
Aritz Aduriz,6,3
Lumor Agbenyenu,14,2
Martin Agirregabiria,3,1
Lucien Agoume,0,0
Kevin Agudelo,4,0
Kevin Agudelo,10,2
Nayef Aguerd,5,1
Sergio Agüero,73,25
Ruben Aguilar,7,3
Emmanuel Agyemang-Badu,0,0
Jean-Eudes Aholou,10,4
Joseph Aidoo,10,1
Ola Aina,12,2
Youssef Aït Bennasser,2,0
Rayan Aït Nouri,4,0
Albian Ajeti,3,0
Ludovic Ajorque,44,18
Manuel Akanji,10,2
Marley Aké,3,0
Nathan Aké,24,7
Chadrac Akolo,9,4
Kevin Akpoguma,2,0
David Alaba,18,7
Sofiane Alakouch,10,4
Lucas Alario,47,18
Jordi Alba,7,3
Luis Alberto,99,27
Raúl Albiol,14,4
Marc Albrighton,10,2
Paco Alcácer,25,8
Paco Alcácer,15,7
Thiago Alcántara,19,8
Rubén Alcaraz,33,8
Toby Alderweireld,16,5
Haitam Aleesami,2,1
Álex Alegría,0,0
Carles Aleñá,1,1
Carles Aleñá,12,4
Rúnar Alex Rúnarsson,0,0
Trent Alexander-Arnold,44,13
Enrico Alfonso,0,0
Rachid Alioui,58,21
Alisson,0,0
Allan,12,7
Dele Alli,39,18
Miguel Almirón,55,17
Marcos Alonso,30,8
Mickaël Alphonse,8,0
Sergio Álvarez,0,0
Sergio Álvarez,4,0
Yeray Álvarez,12,2
Bruno Alves,23,1
Steven Alzate,13,3
Ibrahim Amadou,6,1
Ibrahim Amadou,4,0
Romain Amalfitano,11,2
Amath,0,0
Jordan Amavi,15,4
Thierry Ambrose,23,4
Kelvin Amian,8,3
Nadiem Amiri,43,18
Ethan Ampadu,1,0
Opoku Ampomah,16,5
Sofyan Amrabat,17,6
Joachim Andersen,10,1
Djavan Anderson,1,0
Felipe Anderson,23,8
Sebastian Andersson,61,35
Florin Andone,1,1
Benjamin André,16,3
Lorenzo Andrenacci,0,0
Robert Andrich,50,7
Victorien Angban,4,0
Miguel Ángel Guerrero,13,4
Miguel Ángel Moyá,0,0
José Ángel,24,7
Angeliño,5,2
Angeliño,5,0
Faustino Anjorin,1,0
Peter Ankersen,14,4
Cristian Ansaldi,28,8
Janis Antiste,1,1
Michail Antonio,67,30
Antoñito,1,0
Mirko Antonucci,3,0
Vitorino Antunes,0,0
Christopher Antwi-Adjei,47,10
Anuar,1,0
Houssem Aouar,45,17
Adil Aouchiche,0,0
Dennis Appiah,1,0
Mauro Arambarri,46,7
Guilherme Arana,1,0
Charles Aránguiz,15,2
Luiz Araújo,24,11
Néstor Araujo,12,3
Ronald Araújo,1,0
Anaitz Arbilla,14,2
Alphonse Areola,0,0
Alphonse Areola,0,0
Santiago Arias,6,2
Nicolò Armini,0,0
Stuart Armstrong,46,19
José Arnaiz,21,6
José Arnaiz,11,5
Maximilian Arnold,63,17
Kepa Arrizabalaga,0,0
Kwadwo Asamoah,3,0
Santiago Ascacíbar,2,0
Sergio Asenjo,0,0
Marco Asensio,9,5
Kristoffer Askildsen,1,1
Iago Aspas,78,31
Roger Assalé,11,6
Miguel Atienza,1,0
Christian Atsu,5,1
Youcef Attal,19,9
Pierre-Emerick Aubameyang,90,40
Emil Audero,0,0
Tommaso Augello,0,0
Jean-Kévin Augustin,7,3
Ludwig Augustinsson,5,0
Serge Aurier,13,4
Mathias Autret,27,9
Ezequiel Ávila,68,27
