Player Name,League,Position,Age,Matches Played,Starts,90s Played,Goals,Assists,Yellow Cards,Red Cards
Ismael Aaneba,Ligue 1,DF,19.0,3,3,2.3,0,0,3,0
Patrick van Aanholt,Premier League,DF,27.0,36,36,35.5,3,2,3,0
Ignazio Abate,Serie A,DF,31.0,19,15,14.5,0,0,4,0
Issah Abbas,Bundesliga,FW,19.0,1,0,0.1,0,0,0,0
Yunis Abdelhamid,Ligue 1,DF,30.0,38,38,38.0,0,0,2,0
Mehdi Abeid,Ligue 1,MF,25.0,26,23,22.5,3,0,6,0
Charles Abi,Ligue 1,"FW,MF",18.0,3,0,0.4,0,0,0,0
David Abraham,Bundesliga,DF,32.0,17,17,15.8,0,0,2,0
Amir Abrashi,Bundesliga,MF,28.0,10,9,8.8,0,0,5,0
Francesco Acerbi,Serie A,DF,30.0,37,37,36.8,3,1,4,1
Afriyie Acquah,Serie A,MF,26.0,28,19,16.8,2,0,4,0
Tyler Adams,Bundesliga,MF,19.0,10,8,8.0,0,2,0,0
Antonio Adán,La Liga,GK,31.0,1,1,1.0,0,0,1,0
Aday,La Liga,"DF,MF",30.0,10,8,7.2,0,2,2,0
Khaled Adénon,Ligue 1,DF,33.0,23,22,22.2,0,0,7,1
Claud Adjapong,Serie A,"MF,DF",20.0,5,3,3.0,1,0,1,0
Yacine Adli,Ligue 1,"MF,FW",18.0,7,2,2.4,0,0,1,0
Ali Adnan Kadhim,Serie A,"MF,DF",24.0,3,2,1.8,0,0,0,0
Aritz Aduriz,La Liga,FW,37.0,20,10,10.5,2,0,5,0
Luis Advíncula,La Liga,DF,28.0,28,27,26.5,1,3,6,2
Martin Agirregabiria,La Liga,DF,22.0,27,23,22.6,0,0,4,0
Nayef Aguerd,Ligue 1,DF,22.0,13,12,11.7,3,0,4,1
Sergio Agüero,Premier League,FW,30.0,33,31,27.3,21,8,4,0
Ruben Aguilar,Ligue 1,"DF,MF",25.0,29,29,28.1,1,4,8,0
Juan Aguilera,La Liga,MF,32.0,6,4,3.8,0,0,1,0
Emmanuel Agyemang-Badu,Serie A,MF,27.0,4,2,1.8,0,0,0,0
Jean-Eudes Aholou,Ligue 1,MF,24.0,17,12,11.9,0,1,2,0
Antonis Aidonis,Bundesliga,DF,17.0,2,1,0.9,0,0,1,0
Ola Aina,Serie A,"DF,MF",21.0,30,22,24.0,1,3,5,1
Youssef Aït Bennasser,Ligue 1,MF,22.0,13,11,10.4,0,0,0,0
Youssef Aït Bennasser,Ligue 1,MF,22.0,13,12,11.9,0,2,2,0
Rayan Aït Nouri,Ligue 1,DF,17.0,3,0,0.6,0,0,1,0
Ludovic Ajorque,Ligue 1,FW,24.0,25,18,17.0,9,1,5,0
Manuel Akanji,Bundesliga,DF,23.0,25,25,24.5,1,0,1,0
Carlos Akapo,La Liga,DF,25.0,13,12,11.4,0,0,2,0
Nathan Aké,Premier League,DF,23.0,38,38,37.9,4,0,3,0
Sergio Akieme,La Liga,DF,20.0,2,2,2.0,0,1,0,0
Chadrac Akolo,Bundesliga,"MF,FW",23.0,16,5,5.8,0,1,0,0
Kevin Akpoguma,Bundesliga,DF,23.0,8,5,5.5,0,0,2,0
Kevin Akpoguma,Bundesliga,DF,23.0,4,4,3.5,0,0,2,0
David Alaba,Bundesliga,DF,26.0,31,29,28.1,3,3,4,0
Sofiane Alakouch,Ligue 1,DF,20.0,25,23,21.1,1,0,4,0
Lucas Alario,Bundesliga,FW,25.0,27,11,14.1,9,3,1,0
Jordi Alba,La Liga,DF,29.0,36,32,33.2,2,8,6,0
Luis Alberto,Serie A,"MF,FW",25.0,27,25,22.1,4,5,5,1
Raúl Albiol,Serie A,DF,32.0,20,19,19.0,1,0,4,0
Miiko Albornoz,Bundesliga,"DF,MF",27.0,22,19,18.4,1,3,3,1
Marc Albrighton,Premier League,"FW,MF",28.0,27,18,18.1,2,2,3,0
Paco Alcácer,Bundesliga,FW,24.0,26,11,13.5,18,0,0,0
Pedro Alcalá,La Liga,DF,29.0,25,20,20.8,1,1,9,0
Thiago Alcántara,Bundesliga,MF,27.0,30,26,26.8,2,6,5,0
Rubén Alcaraz,La Liga,MF,27.0,34,34,33.1,3,2,13,0
Toby Alderweireld,Premier League,DF,29.0,34,33,32.5,0,0,3,0
Álex Alegría,La Liga,"FW,MF",25.0,9,0,1.6,0,0,0,0
Alexis Alegue,Ligue 1,FW,21.0,1,0,0.1,0,0,0,0
Iván Alejo,La Liga,"MF,FW",23.0,4,2,1.6,0,0,2,1
Carles Aleñá,La Liga,MF,20.0,17,6,7.1,2,0,2,0
Rúnar Alex Rúnarsson,Ligue 1,GK,23.0,25,25,25.0,0,0,0,0
Alexander,La Liga,DF,29.0,1,0,0.1,0,0,0,0
Trent Alexander-Arnold,Premier League,DF,19.0,29,27,27.4,1,12,3,0
Rachid Alioui,Ligue 1,FW,26.0,27,11,13.9,5,0,1,0
Alisson,Premier League,GK,25.0,38,38,38.0,0,0,1,0
Bobby Allain,Ligue 1,GK,26.0,13,13,13.0,0,0,1,0
Allan,Bundesliga,"MF,DF",21.0,4,2,2.0,0,0,1,0
Allan,Serie A,MF,27.0,33,28,29.1,1,3,10,0
Dele Alli,Premier League,"MF,FW",22.0,25,22,20.3,5,3,4,0
Miguel Almirón,Premier League,"FW,MF",24.0,10,9,8.4,0,0,0,0
Júnior Alonso,La Liga,"DF,MF",25.0,9,6,6.0,0,0,2,0
Marcos Alonso,Premier League,DF,27.0,31,31,30.7,2,4,6,0
Mickaël Alphonse,Ligue 1,DF,29.0,11,6,6.3,1,0,0,0
Sergio Álvarez,La Liga,GK,31.0,13,13,13.0,0,0,1,0
Sergio Álvarez,La Liga,"MF,DF",26.0,19,12,11.9,0,0,1,0
Yeray Álvarez,La Liga,DF,23.0,30,30,29.0,0,0,10,0
Bruno Alves,Serie A,DF,36.0,33,33,32.5,4,1,9,1
Dani Alves,Ligue 1,"MF,DF",35.0,23,19,18.0,1,7,4,0
Alfons Amade,Bundesliga,MF,18.0,1,0,0.1,0,0,0,0
Ibrahim Amadou,La Liga,"MF,DF",25.0,17,7,8.5,0,0,2,0
Romain Amalfitano,Ligue 1,"MF,FW",28.0,32,30,28.0,0,0,3,1
Daniel Amartey,Premier League,DF,23.0,9,7,7.1,0,0,2,0
Jordi Amat,La Liga,DF,26.0,31,31,30.7,0,0,9,0
Amath,La Liga,"MF,FW",22.0,15,13,11.1,1,2,4,0
Jordan Amavi,Ligue 1,DF,24.0,28,24,24.2,0,2,7,2
Kelvin Amian,Ligue 1,DF,20.0,32,32,32.0,0,1,6,0
Nadiem Amiri,Bundesliga,"MF,FW",21.0,13,10,8.4,3,1,1,0
Yanis Ammour,Ligue 1,MF,19.0,1,0,0.0,0,0,0,0
Luke Amos,Premier League,MF,21.0,1,0,0.0,0,0,0,0
Joachim Andersen,Serie A,DF,22.0,32,32,32.0,0,1,7,0
Felipe Anderson,Premier League,"FW,MF",25.0,36,36,33.8,9,4,3,0
Florin Andone,Premier League,FW,25.0,23,8,9.8,3,0,5,0
Benjamin André,Ligue 1,MF,27.0,30,28,27.7,3,1,8,1
Marco Andreolli,Serie A,DF,32.0,3,1,1.2,0,0,1,0
Marco Andreolli,Serie A,DF,32.0,8,7,7.2,0,0,2,0
Yoann Andreu,Ligue 1,DF,29.0,1,0,0.0,0,0,0,0
Miguel Ángel Moyá,La Liga,GK,34.0,11,11,11.0,0,0,1,0
José Ángel,La Liga,DF,28.0,35,34,33.6,1,1,10,0
Cristian Ansaldi,Serie A,"DF,MF",31.0,24,23,20.1,3,2,3,0
Mirco Antenucci,Serie A,FW,33.0,35,22,23.7,5,0,0,0
Waldemar Anton,Bundesliga,DF,22.0,34,34,34.0,1,0,4,0
Luca Antonelli,Serie A,"DF,MF",31.0,13,10,8.4,0,1,1,0
Mauro Antonio Burruchaga,Serie A,MF,20.0,1,0,0.6,0,0,0,0
